id;earring;code;identification;remark;breeder;origin;gender;conception;date_of_birth;date_of_purchase;date_of_weaning;weight_at_birth;weight_at_weaning;weight_205;weight_365;scrotum;ranch;mphp
1;Branding;Home Gloves Latvia;Ports Manager Fish;Networked;Fish;BORN;FEMALE;INSEMINATION;2019-10-14;2019-10-14;2019-10-14;97889;39309;48674;89204;90609;63113;43439
2;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;Villages uniform PCI;BORN;FEMALE;OTHER;2019-10-14;2019-10-14;2019-10-14;48527;16949;37268;55680;39469;93615;84421
3;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;OTHER;FEMALE;RIDE;2019-10-15;2019-10-14;2019-10-14;67202;3594;32815;46559;15504;54264;98184
4;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up;OTHER;FEMALE;OTHER;2019-10-14;2019-10-14;2019-10-14;4106;79518;39882;27083;43352;43897;74404
5;Ameliorated;Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;BUY;MALE;TRANSPLANT;2019-10-15;2019-10-14;2019-10-15;9179;4600;9415;4072;31141;85546;97951
6;Shoes Music connect;Hollow Shoes systems;Generic Frozen Tuna HTTP;implement;Optimization Cambridgeshire;OTHER;MALE;TRANSPLANT;2019-10-14;2019-10-14;2019-10-14;57336;64328;12850;45825;81120;54561;82063
7;Investment Account parsing invoice;black;yellow;Books Generic;robust withdrawal generate;OTHER;MALE;OTHER;2019-10-14;2019-10-14;2019-10-14;96758;28203;54797;17743;42347;75061;56852
8;Wyoming interface Cotton;quantify;JSON Texas;bandwidth;application Configurable iterate;BORN;MALE;OTHER;2019-10-15;2019-10-14;2019-10-14;84714;9128;35490;31931;95680;95006;67676
9;Borders Borders Practical;methodical;Pakistan;parse;neural Wooden Optimization;BORN;FEMALE;INSEMINATION;2019-10-15;2019-10-14;2019-10-14;22257;7276;39665;82186;89189;70624;14660
10;Avon;Planner;PCI SAS;Interactions;Pennsylvania dynamic bandwidth;OTHER;FEMALE;RIDE;2019-10-14;2019-10-14;2019-10-15;74097;11881;76719;11752;82279;64921;74421
